,19.221,20.282,15.412,18.26,42.203,14.317,44.88,48.069,23.018,15.749,19.03,14.599,15.586,17.096,22.393
,,8.1976,8.9303,8.6772,40.388,9.0701,51.46,54.321,18.855,21.631,23.965,14.949,10.489,26.695,29.34
,,,7.0002,6.1154,40.067,15.034,50.847,53.326,24.84,28.251,29.698,13.09,15.987,31.734,32.189
,,,,4.4051,41.029,12.841,52.513,55.121,23.361,26.938,28.843,6.3594,13.699,31.182,32.536
,,,,,41.688,15.654,52.277,54.722,25.774,29.206,30.814,9.9768,16.548,32.909,33.534
,,,,,,34.496,56.848,59.513,38.137,38.015,39.596,36.748,39.127,37.44,42.494
,,,,,,,51.464,54.587,12.588,16.052,19.188,10.542,4.7593,22.516,27.116
,,,,,,,,3.8263,45.74,43.832,39.273,54.51,52.222,35.768,26.733
,,,,,,,,,49.196,47.381,42.848,57.233,55.373,39.382,30.292
,,,,,,,,,,12.761,19.043,21.994,11.958,14.97,21.109
,,,,,,,,,,,9.241,25.866,15.887,8.6664,17.121
,,,,,,,,,,,,28.26,19.239,8.5343,12.64
,,,,,,,,,,,,,11.235,30.984,33.317
,,,,,,,,,,,,,,22.676,27.62
,,,,,,,,,,,,,,,9.3781
